,SITE,PLOT,COORD,TREE,DEAD,Diameter,Height,SHELTER,Multistem,UngulateBrowse,RodentDamage,DieBack,PoorHealth,HighPLant,NaturalRegen,SAMPLE,GRNWT,NEEDLE_DRYWT,STEM_DRYWT,Combined_DRYWT,NOTES,SITE.1,State,Forest,District,X,Y,Unit..,TPA.Planted,Total.Acres.Planted,Season.Planted,Year.Planted,tmax,tavg,tmin,preci,vapr,wind,srad,elev,Elevation,pred_direct_gam,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,rsds,Eref,CMD,RH,CMI,DD1040
30,Buffalo Creek,4,1,10,0,8,14,14,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,8.691557993,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
31,Buffalo Creek,23,1,8,0,8,11,11,1,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,7.739457917,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
32,Buffalo Creek,2,1,5,0,8,25,25,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,12.18259161,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
33,Buffalo Creek,1,1,5,0,8,22,22,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,11.23049153,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
34,Buffalo Creek,22,1,9,0,8,17,17,0,0,0,0,0,0,1,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,9.643658069,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
35,Buffalo Creek,23,1,7,0,8,15,15,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,9.008924685,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
36,Buffalo Creek,21,1,3,0,8,17,17,1,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,9.643658069,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
37,Buffalo Creek,25,1,10,0,8,15,15,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,9.008924685,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
38,Buffalo Creek,4,1,2,0,8,20,20,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,10.59575815,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
39,Buffalo Creek,14,1,10,0,8,16,16,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,9.326291377,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
40,Buffalo Creek,13,1,4,0,8,14,14,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,8.691557993,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
41,Buffalo Creek,17,1,1,0,8,14,14,0,0,0,0,0,0,1,1,26.3,8.39,4.12,12.51,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,8.691557993,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
42,Buffalo Creek,1,1,6,0,8,18,18,1,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,9.961024761,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
43,Buffalo Creek,14,1,7,0,8,23,23,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,11.54785822,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
44,Buffalo Creek,3,1,17,0,8,22,22,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,11.23049153,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
45,Buffalo Creek,1,1,2,0,8,16,16,0,0,0,0,0,0,0,0,NA,NA,NA,NA,shorter ht presumed to have prev BR,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,9.326291377,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
46,Buffalo Creek,4,1,7,0,8,8,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,6.78735784,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
47,Buffalo Creek,7,1,7,0,8,22,22,0,0,0,0,0,0,0,1,37.2,8.39,6.15,14.54,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,11.23049153,7.983333333,19.3,-2.266666667,21.58333333,777.1666667,376,23.53333333,54.4,326.5,1950.333333,3798.333333,158.1666667,185.3333333,145.8333333,277.6666667,132,110.3333333,-34.6,35.2,18.18333333,902.3333333,336.3333333,53,-9.446666667,990
