SITE,PLOT,COORD,TREE,DEAD,Diameter,Height,SHELTER,Multistem,UngulateBrowse,RodentDamage,DieBack,PoorHealth,HighPLant,NaturalRegen,SAMPLE,GRNWT,NEEDLE_DRYWT,STEM_DRYWT,Combined_DRYWT,NOTES,SITE,State,Forest,District,X,Y,Unit #,TPA Planted,Total Acres Planted,Season Planted,Year Planted,tmax,tavg,tmin,preci,vapr,wind,srad,elev,Elevation,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
Buffalo Creek,16,1,3,0,9.4,18,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,7,1,5,0,9.4,15,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,24,1,10,0,9.4,10,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,1,1,1,0,9.3,18,0,0,0,0,0,0,0,0,0,,,,,no shelters ,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,3,1,8,0,9.3,16,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,7,1,2,0,9.2,18,0,1,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,11,1,2,0,9.2,8,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,3,1,1,0,9.1,20,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,2,1,4,0,8.8,18,0,0,0,0,0,0,0,0,1,30,5.68,4.77,10.45,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,4,1,10,0,8.8,14,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,23,1,8,0,8.8,11,0,1,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,2,1,5,0,8.7,25,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,1,1,5,0,8.7,22,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,22,1,9,0,8.7,17,0,0,0,0,0,0,0,1,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,23,1,7,0,8.7,15,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,21,1,3,0,8.6,17,0,1,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,25,1,10,0,8.6,15,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,4,1,2,0,8.5,20,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,14,1,10,0,8.5,16,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,13,1,4,0,8.5,14,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,17,1,1,0,8.5,14,0,0,0,0,0,0,0,1,1,26.3,8.39,4.12,12.51,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,1,1,6,0,8.4,18,0,1,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,14,1,7,0,8.3,23,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,3,1,17,0,8.3,22,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,1,1,2,0,8.3,16,0,0,0,0,0,0,0,0,0,,,,,shorter ht presumed to have prev BR,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,4,1,7,0,8.3,8,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,7,1,7,0,8.2,22,0,0,0,0,0,0,0,0,1,37.2,8.39,6.15,14.54,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,25,1,9,0,8.2,17,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,17,1,2,0,8.2,16,0,0,0,0,0,0,0,1,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,25,1,7,0,8.1,18,0,0,0,0,0,0,0,0,1,33.6,7.61,4.59,12.2,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,13,1,1,0,8,20,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,2,1,1,0,8,18,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,3,1,6,0,8,17,0,0,0,0,0,0,0,0,1,33,7.23,4.46,11.69,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,5,1,6,0,8,13,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,9,1,1,0,8,8,0,1,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,23,1,4,0,7.9,12,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,25,1,6,0,7.9,10,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,7,1,4,0,7.8,20,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,25,1,5,0,7.8,10,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,7,1,6,0,7.6,17,0,0,0,0,0,0,0,0,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
Buffalo Creek,22,1,6,0,7.6,12,0,0,0,0,0,0,0,1,0,,,,,,Buffalo Creek,Colorado,Pike,South Platte,39.353381,-105.3182402,N/A,134,42,Spring,2021,14.98333,5.85,-3.28333,36.66667,0.5275,3.70833,16397.66602,2210,2443,5.85,18.26667,46.01175,772.25763,26.7,-13,39.7,15.81667,-3.21667,15.81667,-3.21667,440,65,9,50.30043,176,41,176,41
